"OZMDW855","Super 8 Bridgeview Chicago Ar","7887 West 79th Street","Bridgeview","IL","60455-1413","62.9","SP1","H1D","No","Room with shower - Minimum","Double","1","20181008"
"QIMDW384","Quality Inn Midway Airport","7353 South Cicero Avenue","Chicago","IL","60629","66.6","SNR","N1K","No","Non-smoking","King","1","20181008"
"EAMDW430","Extended Stay America Midway","7524 State Road","Bedford Park","IL","60459","98.99","PRO","D1P","No","Room with bath - Minimum","Pull-out","1","20181008"
"BWMDW159","Best Western Inn And Suites","8220 S Cicero Ave","Burbank","IL","60459","101.99","DB6","B1K","No","Room with bath - Moderate","King","1","20181008"
"SZMDW103","Sleep Inn Midway Airport","6650 S Cicero Avenue","Bedford Park","IL","60638","103.55","SNR","N1Q","No","Non-smoking","Queen","1","20181008"
"GDCHI219","Chicago Lake Shore Hotel","4900 S Lake Shore Drive","Chicago","IL","60615","101.15","PRO","C1K","No","Room with bath - Standard","King","1","20181008"
"SCCHI431","Write Inn","211 North Oak Park Ave","Oak Park","IL","60302","125.1","SEN","C1Q","No","Room with bath - Standard","Queen","1","20181008"
"LMCHI402","The Inn At Lincoln Park","601 West Diversey Parkway","Chicago","IL","60614","129.0","RAC","N*D","No","Non-smoking","Double","Unspecified","20181008"
"DICHI525","Hotel Versey-days Inn Chicago","644 West Diversey Parkway","Chicago","IL","60614","132.46","TU3","C2D","No","Room with bath - Standard","Double","2","20181008"
"GDCHIJAS","Jaslin Hotel","261 West Cermak Road","Chicago","IL","60616","139.0","BAR","A1Q","No","Room with bath - Superior","Queen","1","20181008"
"HHCHI558","Hilton Oak Lawn","9333 South Cicero Avenue","Oak Lawn","IL","60453","169.0","AAA","C2D","No","Room with bath - Standard","Double","2","20181008"
"RCCHIRMR","Residence Inn Midway Marriott","6638 South Cicero Ave","Bedford Park","IL","60638","170.0","S9R","XMI","No","unknown","Other","Unknown","20181008"
"FNCHIMDF","Fairfield Inn N Stes Marriott","6630 S Cicero Ave","Bedford Park","IL","60638","152.15","S9R","XMI","No","unknown","Other","Unknown","20181008"
"IQCHI788","Chicago South Loop Hotel","11 West 26th Street","Chicago","IL","60616","160.65","AAA","C1Q","No","Room with bath - Standard","Queen","1","20181008"
"BWCHI112","Best Western River North Hotel","125 W. Ohio Street","Chicago","IL","60654 7168","160.65","SRS","A1K","No","Room with bath - Superior","King","1","20181008"
"RFCHI281","The St. Clair Hotel","162 East Ontario Street","Chicago","IL","60611","188.99","AAA","N1K","No","Non-smoking","King","1","20181008"
"WVCHI511","Raffaello Hotel Chicago","201 East Delaware","Chicago","IL","60611","161.1","SRS","B1K","No","Room with bath - Moderate","King","1","20181008"
"LMORD631","Carleton Of Oak Park","1110 Pleasant Street","Oak Park","IL","60302","172.0","RAC","B1Q","No","Room with bath - Moderate","Queen","1","20181008"
"PWCHITUL","Majestic Hotel Chicago","528 W Brompton","Chicago","IL","60657","170.0","SRS","FQN","No","Room with shower - Moderate","Other","Unknown","20181008"
"PWCHISUR","The Willows Hotel","555 W Surf Street","Chicago","IL","60657","170.0","SRS","FQC","No","Room with shower - Moderate","Varies","Unknown","20181008"
